Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,5158.4148998,0.0,0.0
2024-10-02,5141.73028383,0.0,0.0
2024-10-03,5136.71440289,0.0,0.0
2024-10-04,5246.94160143,0.0,0.0
2024-10-05,5410.56368678,0.0,0.0
2024-10-06,5587.07641557,0.0,0.0
2024-10-07,5083.32121199,0.0,0.0
2024-10-08,5130.01508921,0.0,0.0
2024-10-09,5193.2603514,0.0,0.0
2024-10-10,5377.45042161,0.0,0.0
2024-10-11,5468.27548115,0.0,0.0
2024-10-12,5427.10837007,0.0,0.0
2024-10-13,5586.90420121,0.0,0.0
2024-10-14,5140.46303313,0.0,0.0
2024-10-15,5233.02183837,0.0,0.0
2024-10-16,5105.66900671,0.0,0.0
2024-10-17,5198.97139057,0.0,0.0
2024-10-18,5359.75259342,0.0,0.0
2024-10-19,5432.06903109,0.0,0.0
2024-10-20,5681.48755551,0.0,0.0
2024-10-21,5153.92148578,0.0,0.0
2024-10-22,5239.51262768,0.0,0.0
2024-10-23,5255.27439252,0.0,0.0
2024-10-24,5398.69693178,0.0,0.0
2024-10-25,5537.16927226,0.0,0.0
2024-10-26,5479.24283011,0.0,0.0
2024-10-27,5793.9258962,0.0,0.0
2024-10-28,5183.68155277,0.0,0.0
2024-10-29,5214.88773506,0.0,0.0
2024-10-30,5223.61191802,0.0,0.0
2024-11-01,2517.721588662,0.0,0.0
2024-11-02,5319.41621332,0.0,0.0
2024-11-03,5522.0862535,0.0,0.0
2024-11-04,5051.16079711,0.0,0.0
2024-11-05,5027.7552268,0.0,0.0
2024-11-06,5057.69943419,0.0,0.0
2024-11-07,5060.14181578,0.0,0.0
2024-11-08,5208.24156766,0.0,0.0
2024-11-09,5338.3790775,0.0,0.0
2024-11-10,5521.85551863,0.0,0.0
2024-11-11,5158.71174128,0.0,0.0
2024-11-12,5092.58557373,0.0,0.0
2024-11-13,5091.09413134,0.0,0.0
2024-11-14,5066.16548606,0.0,0.0
2024-11-15,5219.26920902,0.0,0.0
2024-11-16,5206.53286957,0.0,0.0
2024-11-17,5355.3649587400005,0.0,0.0
2024-11-18,4972.65105347,0.0,0.0
2024-11-19,5155.09293973,0.0,0.0
2024-11-20,5055.98709985,0.0,0.0
2024-11-21,5096.44886189,0.0,0.0
2024-11-22,5233.28533108,0.0,0.0
2024-11-23,5321.77013978,0.0,0.0
2024-11-24,5419.33259151,0.0,0.0
2024-11-25,5135.30086525,0.0,0.0
2024-11-26,5187.88406174,0.0,0.0
2024-11-27,5541.14954355,0.0,0.0
2024-11-28,5202.184839,0.0,0.0
2024-11-29,5233.24650131,0.0,0.0
2024-11-30,5275.29353493,0.0,0.0
2024-12-01,5335.02608064,0.0,0.0
2024-12-02,4969.70987244,0.0,0.0
2024-12-03,5004.31100418,0.0,0.0
2024-12-04,5123.26932897,0.0,0.0
2024-12-05,5228.28944148,0.0,0.0
2024-12-06,5318.01840058,0.0,0.0
2024-12-07,5396.73337839,0.0,0.0
2024-12-08,5585.36123767,0.0,0.0
2024-12-09,5159.53828998,0.0,0.0
2024-12-10,5178.62947691,0.0,0.0
2024-12-11,5213.33160989,0.0,0.0
2024-12-12,5470.0150552000005,0.0,0.0
2024-12-13,5052.04614374,0.0,0.0
2024-12-14,5385.06420853,0.0,0.0
